gamb=274373 room=1012 discard=27 call=10
  出牌 人=中 模型=中 对
  出牌 人=中 模型=中 对
  出牌 人=西 模型=西 对
  出牌 人=南 模型=南 对
  鸣牌 人=过 模型=过 对
  鸣牌 人=过 模型=过 对
  鸣牌 人=过 模型=吃中 错
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=过 模型=吃高 错
  鸣牌 人=碰 模型=碰 对

gamb=274437 room=1012 discard=22 call=6
  出牌 人=北 模型=北 对
  出牌 人=中 模型=中 对
  出牌 人=西 模型=发 错
  出牌 人=中 模型=中 对
  鸣牌 人=明杠 模型=明杠 对
  鸣牌 人=吃高 模型=吃高 对
  鸣牌 人=吃中 模型=吃中 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=暗杠 模型=暗杠 对
  鸣牌 人=胡 模型=胡 对

gamb=274486 room=12 discard=29 call=12
  出牌 人=中 模型=中 对
  出牌 人=中 模型=中 对
  出牌 人=7万 模型=北 错
  出牌 人=白 模型=白 对
  鸣牌 人=过 模型=吃低 错
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=过 模型=过 对
  鸣牌 人=碰 模型=过 错
  鸣牌 人=过 模型=吃低 错
  鸣牌 人=过 模型=吃中 错

gamb=274490 room=1012 discard=33 call=10
  出牌 人=西 模型=发 错
  出牌 人=发 模型=发 对
  出牌 人=白 模型=白 对
  出牌 人=中 模型=中 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=过 模型=过 对
  鸣牌 人=过 模型=过 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=过 模型=过 对

gamb=274606 room=1013 discard=9 call=5
  出牌 人=东 模型=白 错
  出牌 人=3筒 模型=发 错
  出牌 人=白 模型=白 对
  出牌 人=7万 模型=9条 错
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=过 模型=吃高 错
  鸣牌 人=过 模型=吃高 错
  鸣牌 人=胡 模型=胡 对

gamb=274609 room=1012 discard=28 call=11
  出牌 人=东 模型=东 对
  出牌 人=发 模型=发 对
  出牌 人=北 模型=北 对
  出牌 人=中 模型=中 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=过 模型=吃中 错
  鸣牌 人=吃高 模型=吃高 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=过 模型=吃高 错

gamb=274612 room=12 discard=21 call=7
  出牌 人=北 模型=北 对
  出牌 人=发 模型=发 对
  出牌 人=9条 模型=东 错
  出牌 人=中 模型=中 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=过 模型=吃低 错
  鸣牌 人=过 模型=吃中 错
  鸣牌 人=过 模型=吃低 错
  鸣牌 人=碰 模型=碰 对

gamb=274634 room=1012 discard=28 call=7
  出牌 人=中 模型=中 对
  出牌 人=9筒 模型=西 错
  出牌 人=发 模型=发 对
  出牌 人=发 模型=发 对
  鸣牌 人=过 模型=吃高 错
  鸣牌 人=过 模型=过 对
  鸣牌 人=碰 模型=碰 对
  鸣牌 人=吃高 模型=吃高 对
  鸣牌 人=过 模型=吃高 错
  鸣牌 人=过 模型=过 对

这8局出牌 167/197 鸣牌 51/68
